LINKID,M0_19,M0_24,M0_30,M0_40,M0_50,M4_19,M4_24,M4_30,M4_40,M4_50,M5_19,M5_24,M5_30,M5_40,M5_50,M6_19,M6_24,M6_30,M6_40,M6_50,M7_19,M7_24,M7_30,M7_40,M7_50,M8_19,M8_24,M8_30,M8_40,M8_50,M9_19,M9_24,M9_30,M9_40,M9_50
10003_10339,16,18,30,39,45,0,0,0,0,0,0,0,0,0,0,16,18,30,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003_8410,22,26,32,41,58,0,0,0,0,0,0,0,0,0,0,22,26,32,41,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005_10338,16,18,30,39,45,0,0,0,0,0,0,0,0,0,0,16,18,30,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10011_9461,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10013_11185,594,741,1071,1170,1233,0,0,0,0,0,0,0,0,0,0,594,741,1071,1170,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10013_5193,16,18,30,39,45,0,0,0,0,0,0,0,0,0,0,16,18,30,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10015_10017,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10017_10482,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10019_10023,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10023_11243,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10025_10065,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10027_10487,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10029_10492,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10033_10494,750,832,1186,1250,1325,140,71,84,39,45,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10035_10495,750,832,1186,1250,1325,140,71,84,39,45,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10039_10497,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,30,45,48,59,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10039_7290,720,787,1138,1190,1247,140,71,84,39,45,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10041_10025,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10043_11051,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10045_10513,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10047_10515,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10049_3809,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10051_10049,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10052_10350,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,610,760,1102,1210,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10059_7019,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10062_10530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10063_10087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10064_10062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10065_10510,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,580,715,1053,1151,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10067_10217,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10068_10064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10070_5853,0,0,305,269,230,0,0,0,0,0,0,0,305,269,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10071_10214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10074_3937,0,0,0,0,1008,0,0,0,0,0,0,0,0,0,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10074_3938,31,37,256,227,257,0,0,0,0,0,0,0,256,227,257,31,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10080_9153,99,105,99,107,250,99,105,99,107,38,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10087_10094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10089_10393,53,63,1,0,84,21,24,1,0,0,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10089_6006,0,0,0,1,17,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10092_10067,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10094_10114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10098_10092,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10106_10098,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10114_10174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10140_10685,53,63,1,1,101,21,24,1,1,17,0,0,0,0,0,32,38,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10147_10156,15,13,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10148_21039,12,13,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
